frame_id,processing_time_seconds
exp_60m_60fps_f1,0.02
exp_60m_60fps_f2,0.017
exp_60m_60fps_f3,0.018
exp_60m_60fps_f4,0.016
exp_60m_60fps_f5,0.021
exp_60m_60fps_f6,0.02
exp_60m_60fps_f7,0.017
exp_60m_60fps_f8,0.022
exp_60m_60fps_f9,0.02
exp_60m_60fps_f10,0.016
exp_60m_60fps_f11,0.016
exp_60m_60fps_f12,0.018
exp_60m_60fps_f13,0.019
exp_60m_60fps_f14,0.022
exp_60m_60fps_f15,0.021
exp_60m_60fps_f16,0.017
exp_60m_60fps_f17,0.016
exp_60m_60fps_f18,0.023
exp_60m_60fps_f19,0.017
exp_60m_60fps_f20,0.024
exp_60m_60fps_f21,0.023
exp_60m_60fps_f22,0.021
exp_60m_60fps_f23,0.023
exp_60m_60fps_f24,0.023
exp_60m_60fps_f25,0.018
exp_60m_60fps_f26,0.023
exp_60m_60fps_f27,0.017
exp_60m_60fps_f28,0.019
exp_60m_60fps_f29,0.017
exp_60m_60fps_f30,0.017
exp_60m_60fps_f31,0.023
exp_60m_60fps_f32,0.018
exp_60m_60fps_f33,0.017
exp_60m_60fps_f34,0.022
exp_60m_60fps_f35,0.023
exp_60m_60fps_f36,0.018
exp_60m_60fps_f37,0.023
exp_60m_60fps_f38,0.016
exp_60m_60fps_f39,0.021
exp_60m_60fps_f40,0.016
exp_60m_60fps_f41,0.017
exp_60m_60fps_f42,0.017
exp_60m_60fps_f43,0.017
exp_60m_60fps_f44,0.02
exp_60m_60fps_f45,0.017
exp_60m_60fps_f46,0.017
exp_60m_60fps_f47,0.021
exp_60m_60fps_f48,0.024
exp_60m_60fps_f49,0.023
exp_60m_60fps_f50,0.016
exp_60m_60fps_f51,0.02
exp_60m_60fps_f52,0.017
exp_60m_60fps_f53,0.018
exp_60m_60fps_f54,0.021
exp_60m_60fps_f55,0.023
exp_60m_60fps_f56,0.02
exp_60m_60fps_f57,0.017
exp_60m_60fps_f58,0.016
exp_60m_60fps_f59,0.02
exp_60m_60fps_f60,0.023
exp_60m_60fps_f61,0.017
exp_60m_60fps_f62,0.023
exp_60m_60fps_f63,0.019
exp_60m_60fps_f64,0.021
exp_60m_60fps_f65,0.022
exp_60m_60fps_f66,0.021
exp_60m_60fps_f67,0.023
exp_60m_60fps_f68,0.021
exp_60m_60fps_f69,0.02
exp_60m_60fps_f70,0.016
exp_60m_60fps_f71,0.022
exp_60m_60fps_f72,0.017
exp_60m_60fps_f73,0.018
exp_60m_60fps_f74,0.023
exp_60m_60fps_f75,0.02
exp_60m_60fps_f76,0.018
exp_60m_60fps_f77,0.018
exp_60m_60fps_f78,0.022
exp_60m_60fps_f79,0.022
exp_60m_60fps_f80,0.017
exp_60m_60fps_f81,0.018
exp_60m_60fps_f82,0.019
exp_60m_60fps_f83,0.019
exp_60m_60fps_f84,0.023
exp_60m_60fps_f85,0.017
exp_60m_60fps_f86,0.018
exp_60m_60fps_f87,0.016
exp_60m_60fps_f88,0.023
exp_60m_60fps_f89,0.022
exp_60m_60fps_f90,0.017
exp_60m_60fps_f91,0.019
exp_60m_60fps_f92,0.023
exp_60m_60fps_f93,0.023
exp_60m_60fps_f94,0.021
exp_60m_60fps_f95,0.021
exp_60m_60fps_f96,0.019
exp_60m_60fps_f97,0.016
exp_60m_60fps_f98,0.019
exp_60m_60fps_f99,0.017
exp_60m_60fps_f100,0.019
exp_60m_60fps_f101,0.022
exp_60m_60fps_f102,0.016
exp_60m_60fps_f103,0.019
exp_60m_60fps_f104,0.018
exp_60m_60fps_f105,0.023
exp_60m_60fps_f106,0.019
exp_60m_60fps_f107,0.017
exp_60m_60fps_f108,0.023
exp_60m_60fps_f109,0.016
exp_60m_60fps_f110,0.023
exp_60m_60fps_f111,0.017
exp_60m_60fps_f112,0.017
exp_60m_60fps_f113,0.022
exp_60m_60fps_f114,0.024
exp_60m_60fps_f115,0.019
exp_60m_60fps_f116,0.022
exp_60m_60fps_f117,0.017
exp_60m_60fps_f118,0.017
exp_60m_60fps_f119,0.018
exp_60m_60fps_f120,0.022
exp_60m_60fps_f121,0.018
exp_60m_60fps_f122,0.022
exp_60m_60fps_f123,0.016
exp_60m_60fps_f124,0.019
exp_60m_60fps_f125,0.02
exp_60m_60fps_f126,0.019
exp_60m_60fps_f127,0.022
exp_60m_60fps_f128,0.022
exp_60m_60fps_f129,0.021
exp_60m_60fps_f130,0.016
exp_60m_60fps_f131,0.022
exp_60m_60fps_f132,0.016
exp_60m_60fps_f133,0.017
exp_60m_60fps_f134,0.02
exp_60m_60fps_f135,0.019
exp_60m_60fps_f136,0.019
exp_60m_60fps_f137,0.016
exp_60m_60fps_f138,0.017
exp_60m_60fps_f139,0.02
exp_60m_60fps_f140,0.017
exp_60m_60fps_f141,0.017
exp_60m_60fps_f142,0.019
exp_60m_60fps_f143,0.017
exp_60m_60fps_f144,0.021
exp_60m_60fps_f145,0.021
exp_60m_60fps_f146,0.017
exp_60m_60fps_f147,0.018
exp_60m_60fps_f148,0.017
exp_60m_60fps_f149,0.016
exp_60m_60fps_f150,0.017
exp_60m_60fps_f151,0.017
exp_60m_60fps_f152,0.018
exp_60m_60fps_f153,0.021
exp_60m_60fps_f154,0.019
exp_60m_60fps_f155,0.016
exp_60m_60fps_f156,0.02
exp_60m_60fps_f157,0.021
exp_60m_60fps_f158,0.023
exp_60m_60fps_f159,0.016
exp_60m_60fps_f160,0.021
exp_60m_60fps_f161,0.024
exp_60m_60fps_f162,0.022
exp_60m_60fps_f163,0.017
exp_60m_60fps_f164,0.023
exp_60m_60fps_f165,0.022
exp_60m_60fps_f166,0.017
exp_60m_60fps_f167,0.023
exp_60m_60fps_f168,0.023
exp_60m_60fps_f169,0.021
exp_60m_60fps_f170,0.022
exp_60m_60fps_f171,0.02
exp_60m_60fps_f172,0.02
exp_60m_60fps_f173,0.018
exp_60m_60fps_f174,0.017
exp_60m_60fps_f175,0.019
exp_60m_60fps_f176,0.017
exp_60m_60fps_f177,0.016
exp_60m_60fps_f178,0.021
exp_60m_60fps_f179,0.018
exp_60m_60fps_f180,0.017
exp_60m_60fps_f181,0.018
exp_60m_60fps_f182,0.021
exp_60m_60fps_f183,0.024
exp_60m_60fps_f184,0.017
exp_60m_60fps_f185,0.023
exp_60m_60fps_f186,0.017
exp_60m_60fps_f187,0.023
exp_60m_60fps_f188,0.02
exp_60m_60fps_f189,0.017
exp_60m_60fps_f190,0.02
exp_60m_60fps_f191,0.023
exp_60m_60fps_f192,0.017
exp_60m_60fps_f193,0.019
exp_60m_60fps_f194,0.023
exp_60m_60fps_f195,0.024
exp_60m_60fps_f196,0.021
exp_60m_60fps_f197,0.016
exp_60m_60fps_f198,0.02
exp_60m_60fps_f199,0.023
exp_60m_60fps_f200,0.019
exp_60m_60fps_f201,0.017
exp_60m_60fps_f202,0.023
exp_60m_60fps_f203,0.021
exp_60m_60fps_f204,0.019
exp_60m_60fps_f205,0.017
exp_60m_60fps_f206,0.019
exp_60m_60fps_f207,0.02
exp_60m_60fps_f208,0.017
exp_60m_60fps_f209,0.019
exp_60m_60fps_f210,0.022
exp_60m_60fps_f211,0.022
exp_60m_60fps_f212,0.022
exp_60m_60fps_f213,0.019
exp_60m_60fps_f214,0.023
exp_60m_60fps_f215,0.02
exp_60m_60fps_f216,0.021
exp_60m_60fps_f217,0.023
exp_60m_60fps_f218,0.019
exp_60m_60fps_f219,0.016
exp_60m_60fps_f220,0.024
exp_60m_60fps_f221,0.017
exp_60m_60fps_f222,0.019
exp_60m_60fps_f223,0.021
exp_60m_60fps_f224,0.021
exp_60m_60fps_f225,0.017
exp_60m_60fps_f226,0.017
exp_60m_60fps_f227,0.024
exp_60m_60fps_f228,0.017
exp_60m_60fps_f229,0.018
exp_60m_60fps_f230,0.017
exp_60m_60fps_f231,0.023
exp_60m_60fps_f232,0.019
exp_60m_60fps_f233,0.021
exp_60m_60fps_f234,0.022
exp_60m_60fps_f235,0.016
exp_60m_60fps_f236,0.019
exp_60m_60fps_f237,0.021
exp_60m_60fps_f238,0.018
exp_60m_60fps_f239,0.02
exp_60m_60fps_f240,0.023
exp_60m_60fps_f241,0.016
exp_60m_60fps_f242,0.02
exp_60m_60fps_f243,0.023
exp_60m_60fps_f244,0.019
exp_60m_60fps_f245,0.017
exp_60m_60fps_f246,0.022
exp_60m_60fps_f247,0.018
exp_60m_60fps_f248,0.024
exp_60m_60fps_f249,0.018
exp_60m_60fps_f250,0.017
exp_60m_60fps_f251,0.018
exp_60m_60fps_f252,0.018
exp_60m_60fps_f253,0.023
exp_60m_60fps_f254,0.016
exp_60m_60fps_f255,0.02
exp_60m_60fps_f256,0.019
exp_60m_60fps_f257,0.024
exp_60m_60fps_f258,0.023
exp_60m_60fps_f259,0.022
exp_60m_60fps_f260,0.02
exp_60m_60fps_f261,0.017
exp_60m_60fps_f262,0.018
exp_60m_60fps_f263,0.024
exp_60m_60fps_f264,0.016
exp_60m_60fps_f265,0.017
exp_60m_60fps_f266,0.023
exp_60m_60fps_f267,0.022
exp_60m_60fps_f268,0.019
exp_60m_60fps_f269,0.02
exp_60m_60fps_f270,0.02
exp_60m_60fps_f271,0.02
exp_60m_60fps_f272,0.016
exp_60m_60fps_f273,0.017
exp_60m_60fps_f274,0.017
exp_60m_60fps_f275,0.016
exp_60m_60fps_f276,0.022
exp_60m_60fps_f277,0.019
exp_60m_60fps_f278,0.018
exp_60m_60fps_f279,0.019
exp_60m_60fps_f280,0.019
exp_60m_60fps_f281,0.017
exp_60m_60fps_f282,0.016
exp_60m_60fps_f283,0.023
exp_60m_60fps_f284,0.019
exp_60m_60fps_f285,0.018
exp_60m_60fps_f286,0.019
exp_60m_60fps_f287,0.024
exp_60m_60fps_f288,0.018
exp_60m_60fps_f289,0.016
exp_60m_60fps_f290,0.021
exp_60m_60fps_f291,0.02
exp_60m_60fps_f292,0.023
exp_60m_60fps_f293,0.022
exp_60m_60fps_f294,0.018
exp_60m_60fps_f295,0.018
exp_60m_60fps_f296,0.016
exp_60m_60fps_f297,0.017
exp_60m_60fps_f298,0.023
exp_60m_60fps_f299,0.023
exp_60m_60fps_f300,0.02
exp_60m_60fps_f301,0.023
exp_60m_60fps_f302,0.022
exp_60m_60fps_f303,0.016
exp_60m_60fps_f304,0.022
exp_60m_60fps_f305,0.023
exp_60m_60fps_f306,0.017
exp_60m_60fps_f307,0.02
exp_60m_60fps_f308,0.019
exp_60m_60fps_f309,0.017
exp_60m_60fps_f310,0.021
exp_60m_60fps_f311,0.022
exp_60m_60fps_f312,0.017
exp_60m_60fps_f313,0.019
exp_60m_60fps_f314,0.019
exp_60m_60fps_f315,0.017
exp_60m_60fps_f316,0.022
exp_60m_60fps_f317,0.02
exp_60m_60fps_f318,0.017
exp_60m_60fps_f319,0.022
exp_60m_60fps_f320,0.019
exp_60m_60fps_f321,0.018
exp_60m_60fps_f322,0.016
exp_60m_60fps_f323,0.022
exp_60m_60fps_f324,0.018
exp_60m_60fps_f325,0.022
exp_60m_60fps_f326,0.022
exp_60m_60fps_f327,0.021
exp_60m_60fps_f328,0.017
exp_60m_60fps_f329,0.023
exp_60m_60fps_f330,0.022
exp_60m_60fps_f331,0.02
exp_60m_60fps_f332,0.017
exp_60m_60fps_f333,0.016
exp_60m_60fps_f334,0.016
exp_60m_60fps_f335,0.02
exp_60m_60fps_f336,0.023
exp_60m_60fps_f337,0.018
exp_60m_60fps_f338,0.022
exp_60m_60fps_f339,0.016
exp_60m_60fps_f340,0.016
exp_60m_60fps_f341,0.018
exp_60m_60fps_f342,0.022
exp_60m_60fps_f343,0.021
exp_60m_60fps_f344,0.022
exp_60m_60fps_f345,0.018
exp_60m_60fps_f346,0.019
exp_60m_60fps_f347,0.016
exp_60m_60fps_f348,0.02
exp_60m_60fps_f349,0.017
exp_60m_60fps_f350,0.022
exp_60m_60fps_f351,0.023
exp_60m_60fps_f352,0.02
exp_60m_60fps_f353,0.016
exp_60m_60fps_f354,0.022
exp_60m_60fps_f355,0.023
exp_60m_60fps_f356,0.019
exp_60m_60fps_f357,0.02
exp_60m_60fps_f358,0.017
exp_60m_60fps_f359,0.023
exp_60m_60fps_f360,0.022
exp_60m_60fps_f361,0.019
exp_60m_60fps_f362,0.018
exp_60m_60fps_f363,0.021
exp_60m_60fps_f364,0.02
exp_60m_60fps_f365,0.023
exp_60m_60fps_f366,0.016
exp_60m_60fps_f367,0.016
exp_60m_60fps_f368,0.018
exp_60m_60fps_f369,0.021
exp_60m_60fps_f370,0.023
exp_60m_60fps_f371,0.02
exp_60m_60fps_f372,0.019
exp_60m_60fps_f373,0.021
exp_60m_60fps_f374,0.016
exp_60m_60fps_f375,0.019
exp_60m_60fps_f376,0.017
exp_60m_60fps_f377,0.022
exp_60m_60fps_f378,0.023
exp_60m_60fps_f379,0.018
exp_60m_60fps_f380,0.019
exp_60m_60fps_f381,0.022
exp_60m_60fps_f382,0.021
exp_60m_60fps_f383,0.022
exp_60m_60fps_f384,0.019
exp_60m_60fps_f385,0.016
exp_60m_60fps_f386,0.022
exp_60m_60fps_f387,0.022
exp_60m_60fps_f388,0.018
exp_60m_60fps_f389,0.019
exp_60m_60fps_f390,0.021
exp_60m_60fps_f391,0.021
exp_60m_60fps_f392,0.018
exp_60m_60fps_f393,0.019
exp_60m_60fps_f394,0.022
exp_60m_60fps_f395,0.016
exp_60m_60fps_f396,0.024
exp_60m_60fps_f397,0.016
exp_60m_60fps_f398,0.022
exp_60m_60fps_f399,0.02
exp_60m_60fps_f400,0.017
exp_60m_60fps_f401,0.023
exp_60m_60fps_f402,0.019
exp_60m_60fps_f403,0.019
exp_60m_60fps_f404,0.018
exp_60m_60fps_f405,0.023
exp_60m_60fps_f406,0.016
exp_60m_60fps_f407,0.016
exp_60m_60fps_f408,0.017
exp_60m_60fps_f409,0.021
exp_60m_60fps_f410,0.02
exp_60m_60fps_f411,0.019
exp_60m_60fps_f412,0.023
exp_60m_60fps_f413,0.019
exp_60m_60fps_f414,0.023
exp_60m_60fps_f415,0.021
exp_60m_60fps_f416,0.022
exp_60m_60fps_f417,0.017
exp_60m_60fps_f418,0.021
exp_60m_60fps_f419,0.018
exp_60m_60fps_f420,0.023
exp_60m_60fps_f421,0.018
exp_60m_60fps_f422,0.02
exp_60m_60fps_f423,0.016
exp_60m_60fps_f424,0.023
exp_60m_60fps_f425,0.016
exp_60m_60fps_f426,0.02
exp_60m_60fps_f427,0.019
exp_60m_60fps_f428,0.016
exp_60m_60fps_f429,0.02
exp_60m_60fps_f430,0.023
exp_60m_60fps_f431,0.022
exp_60m_60fps_f432,0.019
exp_60m_60fps_f433,0.017
exp_60m_60fps_f434,0.018
exp_60m_60fps_f435,0.023
exp_60m_60fps_f436,0.017
exp_60m_60fps_f437,0.023
exp_60m_60fps_f438,0.023
exp_60m_60fps_f439,0.018
exp_60m_60fps_f440,0.018
exp_60m_60fps_f441,0.018
exp_60m_60fps_f442,0.017
exp_60m_60fps_f443,0.016
exp_60m_60fps_f444,0.018
exp_60m_60fps_f445,0.021
exp_60m_60fps_f446,0.019
exp_60m_60fps_f447,0.023
exp_60m_60fps_f448,0.017
exp_60m_60fps_f449,0.021
exp_60m_60fps_f450,0.016
exp_60m_60fps_f451,0.019
exp_60m_60fps_f452,0.021
exp_60m_60fps_f453,0.019
exp_60m_60fps_f454,0.016
exp_60m_60fps_f455,0.019
exp_60m_60fps_f456,0.019
exp_60m_60fps_f457,0.016
exp_60m_60fps_f458,0.023
exp_60m_60fps_f459,0.021
exp_60m_60fps_f460,0.016
exp_60m_60fps_f461,0.022
exp_60m_60fps_f462,0.017
exp_60m_60fps_f463,0.02
exp_60m_60fps_f464,0.017
exp_60m_60fps_f465,0.023
exp_60m_60fps_f466,0.023
exp_60m_60fps_f467,0.021
exp_60m_60fps_f468,0.018
exp_60m_60fps_f469,0.021
exp_60m_60fps_f470,0.023
exp_60m_60fps_f471,0.018
exp_60m_60fps_f472,0.019
exp_60m_60fps_f473,0.017
exp_60m_60fps_f474,0.022
exp_60m_60fps_f475,0.019
exp_60m_60fps_f476,0.022
exp_60m_60fps_f477,0.022
exp_60m_60fps_f478,0.017
exp_60m_60fps_f479,0.018
exp_60m_60fps_f480,0.02
exp_60m_60fps_f481,0.018
exp_60m_60fps_f482,0.019
exp_60m_60fps_f483,0.023
exp_60m_60fps_f484,0.023
exp_60m_60fps_f485,0.023
exp_60m_60fps_f486,0.022
exp_60m_60fps_f487,0.02
exp_60m_60fps_f488,0.019
exp_60m_60fps_f489,0.022
exp_60m_60fps_f490,0.022
exp_60m_60fps_f491,0.023
exp_60m_60fps_f492,0.019
exp_60m_60fps_f493,0.02
exp_60m_60fps_f494,0.02
exp_60m_60fps_f495,0.018
exp_60m_60fps_f496,0.016
exp_60m_60fps_f497,0.019
exp_60m_60fps_f498,0.018
exp_60m_60fps_f499,0.017
exp_60m_60fps_f500,0.018
exp_60m_60fps_f501,0.017
exp_60m_60fps_f502,0.017
exp_60m_60fps_f503,0.02
exp_60m_60fps_f504,0.016
exp_60m_60fps_f505,0.023
exp_60m_60fps_f506,0.02
exp_60m_60fps_f507,0.019
exp_60m_60fps_f508,0.021
exp_60m_60fps_f509,0.023
exp_60m_60fps_f510,0.021
exp_60m_60fps_f511,0.019
exp_60m_60fps_f512,0.021
exp_60m_60fps_f513,0.022
exp_60m_60fps_f514,0.021
exp_60m_60fps_f515,0.016
exp_60m_60fps_f516,0.024
exp_60m_60fps_f517,0.019
exp_60m_60fps_f518,0.021
exp_60m_60fps_f519,0.016
exp_60m_60fps_f520,0.022
exp_60m_60fps_f521,0.02
exp_60m_60fps_f522,0.022
exp_60m_60fps_f523,0.017
exp_60m_60fps_f524,0.021
exp_60m_60fps_f525,0.019
exp_60m_60fps_f526,0.02
exp_60m_60fps_f527,0.023
exp_60m_60fps_f528,0.018
exp_60m_60fps_f529,0.02
exp_60m_60fps_f530,0.02
exp_60m_60fps_f531,0.024
exp_60m_60fps_f532,0.02
exp_60m_60fps_f533,0.016
exp_60m_60fps_f534,0.021
exp_60m_60fps_f535,0.018
exp_60m_60fps_f536,0.021
exp_60m_60fps_f537,0.02
exp_60m_60fps_f538,0.016
exp_60m_60fps_f539,0.022
exp_60m_60fps_f540,0.019
exp_60m_60fps_f541,0.017
exp_60m_60fps_f542,0.022
exp_60m_60fps_f543,0.018
exp_60m_60fps_f544,0.021
exp_60m_60fps_f545,0.022
exp_60m_60fps_f546,0.023
exp_60m_60fps_f547,0.021
exp_60m_60fps_f548,0.022
exp_60m_60fps_f549,0.022
exp_60m_60fps_f550,0.018
exp_60m_60fps_f551,0.02
exp_60m_60fps_f552,0.018
exp_60m_60fps_f553,0.019
exp_60m_60fps_f554,0.02
exp_60m_60fps_f555,0.022
exp_60m_60fps_f556,0.017
exp_60m_60fps_f557,0.018
exp_60m_60fps_f558,0.016
exp_60m_60fps_f559,0.019
exp_60m_60fps_f560,0.017
exp_60m_60fps_f561,0.019
exp_60m_60fps_f562,0.02
exp_60m_60fps_f563,0.017
exp_60m_60fps_f564,0.016
exp_60m_60fps_f565,0.022
exp_60m_60fps_f566,0.02
exp_60m_60fps_f567,0.022
exp_60m_60fps_f568,0.021
exp_60m_60fps_f569,0.019
exp_60m_60fps_f570,0.017
exp_60m_60fps_f571,0.021
exp_60m_60fps_f572,0.021
exp_60m_60fps_f573,0.019
exp_60m_60fps_f574,0.021
exp_60m_60fps_f575,0.018
exp_60m_60fps_f576,0.017
exp_60m_60fps_f577,0.024
exp_60m_60fps_f578,0.019
exp_60m_60fps_f579,0.022
exp_60m_60fps_f580,0.016
exp_60m_60fps_f581,0.023
exp_60m_60fps_f582,0.02
exp_60m_60fps_f583,0.019
exp_60m_60fps_f584,0.021
exp_60m_60fps_f585,0.018
exp_60m_60fps_f586,0.022
exp_60m_60fps_f587,0.019
exp_60m_60fps_f588,0.023
exp_60m_60fps_f589,0.023
exp_60m_60fps_f590,0.024
exp_60m_60fps_f591,0.023
exp_60m_60fps_f592,0.022
exp_60m_60fps_f593,0.018
exp_60m_60fps_f594,0.017
exp_60m_60fps_f595,0.016
exp_60m_60fps_f596,0.019
exp_60m_60fps_f597,0.019
exp_60m_60fps_f598,0.019
exp_60m_60fps_f599,0.023
exp_60m_60fps_f600,0.02
exp_60m_60fps_f601,0.017
exp_60m_60fps_f602,0.016
exp_60m_60fps_f603,0.023
exp_60m_60fps_f604,0.021
